LAUS Code,State FIPS Code,Area FIPS Code,Selected Area and Division,Year,Month,Unemployment Rate
DV2571654000000,25,71654,"Boston-Cambridge-Newton, MA NECTA Div",1990,05,5.1
DV2572104000000,25,72104,"Brockton-Bridgewater-Easton, MA NECTA Div",1990,05,7.5
DV2573104000000,25,73104,"Framingham, MA NECTA Div",1990,05,4.9
DV2573604000000,25,73604,"Haverhill-Newburyport-Amesbury Town, MA-NH NECTA Div",1990,05,6.8
DV2574204000000,25,74204,"Lawrence-Methuen Town-Salem, MA-NH NECTA Div",1990,05,8.4
DV2574804000000,25,74804,"Lowell-Billerica-Chelmsford, MA-NH NECTA Div",1990,05,6.6
DV2574854000000,25,74854,"Lynn-Saugus-Marblehead, MA NECTA Div",1990,05,5.8
DV3375404000000,33,75404,"Nashua, NH-MA NECTA Div",1990,05,5.1
DV2576524000000,25,76524,"Peabody-Salem-Beverly, MA NECTA Div",1990,05,5.3
DV2578254000000,25,78254,"Taunton-Middleborough-Norton, MA NECTA Div",1990,05,7.3
MT2619820000000,26,19820,"Detroit-Warren-Dearborn, MI MSA",1990,05,7.6
DV2619804000000,26,19804,"Detroit-Dearborn-Livonia, MI Met Div",1990,05,8.7
DV2647664000000,26,47664,"Warren-Troy-Farmington Hills, MI Met Div",1990,05,6.7
MT3635620000000,36,35620,"New York-Newark-Jersey City, NY-NJ-PA MSA",1990,05,5.1
DV3620524000000,36,20524,"Dutchess County-Putnam County, NY Met Div",1990,05,2.9
DV3635004000000,36,35004,"Nassau County-Suffolk County, NY Met Div",1990,05,3.8
DV3635614000000,36,35614,"New York-Jersey City-White Plains, NY-NJ Met Div",1990,05,5.6
DV3435084000000,34,35084,"Newark, NJ-PA Met Div",1990,05,4.4
MT4237980000000,42,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",1990,05,4.7
DV3415804000000,34,15804,"Camden, NJ Met Div",1990,05,5.2
DV4233874000000,42,33874,"Montgomery County-Bucks County-Chester County, PA Met Div",1990,05,3.6
DV4237964000000,42,37964,"Philadelphia, PA Met Div",1990,05,5.4
DV1048864000000,10,48864,"Wilmington, DE-MD-NJ Met Div",1990,05,4.8
MT4819100000000,48,19100,"Dallas-Fort Worth-Arlington, TX MSA",1990,05,5.1
DV4819124000000,48,19124,"Dallas-Plano-Irving, TX Met Div",1990,05,4.9
DV4823104000000,48,23104,"Fort Worth-Arlington, TX Met Div",1990,05,5.4
MT5342660000000,53,42660,"Seattle-Tacoma-Bellevue, WA MSA",1990,05,4.0
DV5342644000000,53,42644,"Seattle-Bellevue-Everett, WA Met Div",1990,05,3.8
DV5345104000000,53,45104,"Tacoma-Lakewood, WA Met Div",1990,05,4.7
MT0631080000000,06,31080,"Los Angeles-Long Beach-Anaheim, CA MSA",1990,06,5.1
DV0611244000000,06,11244,"Anaheim-Santa Ana-Irvine, CA Met Div",1990,06,3.4
DV0631084000000,06,31084,"Los Angeles-Long Beach-Glendale, CA Met Div",1990,06,5.6
MT0641860000000,06,41860,"San Francisco-Oakland-Hayward, CA MSA",1990,06,3.5
DV0636084000000,06,36084,"Oakland-Hayward-Berkeley, CA Met Div",1990,06,4.0
